Name,Iata,Icao,Lat,Lon,Country,Alt,City
Albenga Clemente Panero International Airport,ALL,LIMG,44.050598,8.127428,Italy,148,Albenga
Albert Picardie Airport,BYF,LFAQ,49.9715,2.69766,France,364,Albert
Albi Le Sequestre Airport,LBI,LFCI,43.913269,2.11675,France,564,Albi
Albuquerque International Airport,ABQ,KABQ,35.040218,-106.609001,United States,5355,Albuquerque
Albury Airport,ABX,YMAY,-36.067699,146.957993,Australia,539,Albury
Aldan Airport,ADH,UEEA,58.602772,125.408798,Russia,2241,Aldan
Alderney Airport,ACI,EGJA,49.706108,-2.21472,United Kingdom,290,Alderney
Aleppo International Airport,ALP,OSAP,36.180672,37.22435,Syria,1276,Aleppo
Alesund Vigra Airport,AES,ENAL,62.560371,6.110164,Norway,69,Alesund
Alexander City Thomas C Russell Field,ALX,KALX,32.933334,-85.949997,United States,686,Alexander City
Alexandria Borg El Arab Airport,HBE,HEBA,30.91766,29.6964,Egypt,177,Alexandria
Alexandria International Airport,AEX,KAEX,31.32737,-92.5485,United States,89,Alexandria
Alexandria Municipal Airport,AXN,KAXN,45.867222,-95.394165,United States,1425,Alexandria
Alexandroupolis International Airport,AXD,LGAL,40.855862,25.956261,Greece,24,Alexandroupolis
Algeciras Heliport,QYH,LEAG,36.128887,-5.441111,Spain,98,
Alghero Fertilia Airport,AHO,LIEA,40.63213,8.290772,Italy,87,Alghero
Algiers Houari Boumediene Airport,ALG,DAAG,36.69101,3.215408,Algeria,82,Algier
Alicante Airport,ALC,LEAL,38.282162,-0.55815,Spain,142,Alicante
Alice International Airport,ALI,KALI,27.740879,-98.026901,United States,178,Alice
Alice Springs Airport,ASP,YBAS,-23.806601,133.902206,Australia,1789,Alice Springs
Allahabad Airport,IXD,VIAL,25.44006,81.733871,India,322,Allahabad
Allakaket Airport,AET,PFAL,66.551804,-152.621994,United States,441,Allakaket
Allendorf Airport,QEQ,EDFQ,51.035713,8.679523,Germany,1164,Allendorf
Allentown Lehigh Valley International Airport,ABE,KABE,40.652302,-75.440399,United States,393,Allentown
Alliance Municipal Airport,AIA,KAIA,42.053219,-102.803001,United States,3931,Alliance
Alma Airport,YTF,CYTF,48.509655,-71.642715,Canada,434,Alma
Almaty International Airport,ALA,UAAA,43.35207,77.040497,Kazakhstan,2234,Alma-ata
Almeria Airport,LEI,LEAM,36.843929,-2.37009,Spain,70,Almeria
Alor Island Airport,ARD,WATM,-8.13234,124.597,Indonesia,10,Alor Island
Alor Setar Sultan Abdul Halim Airport,AOR,WMKA,6.189667,100.398102,Malaysia,15,Alor Setar
Alpena County Regional Airport,APN,KAPN,45.081669,-83.555832,United States,689,Alpena
Alta Airport,ALF,ENAT,69.976112,23.37166,Norway,9,Alta
Alta Floresta Airport,AFL,SBAT,-9.86609,-56.106201,Brazil,947,Alta Floresta
Altai Airport,LTI,ZMAT,46.650002,96.416664,Mongolia,7261,Altai
Altamira Airport,ATM,SBHT,-3.2539,-52.253899,Brazil,368,Altamira
Altay Airport,AAT,ZWAT,47.750362,88.084442,China,1750,
Alton St. Louis Regional Airport,ALN,KALN,38.890301,-90.045998,United States,544,Alton/St Louis
Altoona Blair County Airport,AOO,KAOO,40.296371,-78.32,United States,1503,Altoona
Alzintan Airport,ZIS,HLZN,31.775,12.25,Libya,2080,
Amakusa Airport,AXJ,RJDA,32.483261,130.15564,Japan,328,Amakusa
Amami Airport,ASJ,RJKA,28.43063,129.712494,Japan,27,Amami
Amarillo Rick Husband  International Airport,AMA,KAMA,35.21936,-101.705002,United States,3607,Amarillo
Amarillo Tradewind Airport,TDW,KTDW,35.169899,-101.825996,United States,3649,
Ambler Airport,ABL,PAFM,67.087502,-157.84584,United States,289,Ambler
Ambon Pattimura Airport,AMQ,WAPP,-3.71026,128.089096,Indonesia,33,
Amboseli Airport,ASV,HKAM,-2.633,37.25,Kenya,3755,Amboseli National Park
Ames Municipal Airport,AMW,KAMW,41.992001,-93.621803,United States,956,
Amman Civil Airport,ADJ,OJAM,31.9727,35.991562,Jordan,2555,Amman
Amman Queen Alia International Airport,AMM,OJAI,31.722549,35.99321,Jordan,2395,Amman
Amritsar International Airport,ATQ,VIAR,31.709591,74.797256,India,756,Amritsar
Amsterdam Schiphol Airport,AMS,EHAM,52.308609,4.763889,Netherlands,11,Amsterdam
Anadyr Ugolny Airport,DYR,UHMA,64.730003,177.740005,Russia,194,Anadyr
Anaktuvuk Pass Airport,AKP,PAKP,68.129997,-151.740005,United States,2106,Anaktuvuk Pass
Anapa Airport,AAQ,URKA,45.00209,37.347271,Russia,174,Anapa
Anchorage Elmendorf Air Force Base,EDF,PAED,61.251339,-149.806,United States,213,Anchorage
Anchorage Merrill Field Airport,MRI,PAMR,61.213539,-149.843994,United States,137,Anchorage
Anchorage Ted Stevens International Airport,ANC,PANC,61.174358,-149.996002,United States,151,Anchorage
Ancona Airport,AOI,LIPY,43.616341,13.36231,Italy,49,Ancona
Andal Kazi Nazrul Islam Airport,RDP,VEDG,23.621389,87.243332,India,289,Durgapur
Andenes Andoya Airport,ANX,ENAN,69.292503,16.144159,Norway,43,Andoya
Anderson Regional Airport,AND,KAND,34.494579,-82.709297,United States,782,Andersen
Andizhan Airport,AZN,UTFA,40.72773,72.294006,Uzbekistan,1515,
Andros Town International Airport,ASD,MYAF,24.69828,-77.795601,Bahamas,5,Andros Town
Anegada Auguste George Airport,NGD,TUPA,18.727394,-64.330055,Virgin Islands British,21,Anegada
Angeles City Clark International Airport,CRK,RPLC,15.18598,120.560303,Philippines,484,Angeles City
Angelholm Helsingborg Airport,AGH,ESTA,56.29607,12.84713,Sweden,68,Ängelholm
Angers Loire Airport,ANE,LFJR,47.56028,-0.312222,France,194,Angers/Marcé
Anglesey Airport,VLY,EGOV,53.240002,-4.53,United Kingdom,-1,Angelsey
Angola Tri-State Steuben County Airport,ANQ,KANQ,41.639702,-85.083504,United States,995,Angola
Angouleme Cognac International Airport,ANG,LFBU,45.729469,0.219153,France,436,Angouleme
Angra dos Reis Airport,GDR,SDAG,-22.975279,-44.30722,Brazil,10,Angra dos Reis
Aniak Airport,ANI,PANI,61.581669,-159.54306,United States,89,Aniak
Anjouan Ouani Airport,AJN,FMCV,-12.1316,44.430271,Comoros,62,Anjouan
Ankara Esenboga International Airport,ESB,LTAC,40.128078,32.995079,Turkey,3125,Ankara
Ankeny Regional Airport,QQK,KIKV,41.691113,-93.566391,United States,910,Ankeny
Ann Arbor Municipal Airport,ARB,KARB,42.223057,-83.74556,United States,839,Ann Arbor
Annaba Rabah Bitat Airport,AAE,DABB,36.82222,7.809167,Algeria,16,Annaba
Annapolis Lee Airport,ANP,KANP,38.942902,-76.568398,United States,34,Annapolis
Annecy Mont Blanc Airport,NCY,LFLP,45.930771,6.106289,France,1519,Annecy
Annemasse Airport,QYA,LFLI,46.19194,6.269444,France,1617,Annemasse
Anniston Regional,ANB,KANB,33.588161,-85.858101,United States,612,Anniston
Anqing Tianzhushan Airport,AQG,ZSAQ,30.582222,117.050278,China,-1,Anqing
Anshan Teng'ao Airport,AOG,ZYAS,41.103523,122.855835,China,53,Anshan
Anshun Huangguoshu Airport,AVA,ZUAS,26.260555,105.873337,China,4812,Anshun
Antakya Hatay Airport,HTY,LTDA,36.362778,36.282223,Turkey,25,Hatay
Antalya Airport,AYT,LTAI,36.898731,30.800461,Turkey,177,Antalya
Antananarivo Ivato International Airport,TNR,FMMI,-18.7969,47.478802,Madagascar,4198,Antananarivo
Antigua V. C. Bird International Airport,ANU,TAPA,17.13674,-61.792599,Antigua And Barbuda,62,Antigua
Antofagasta International Airport,ANF,SCFA,-23.444401,-70.445099,Chile,455,Antofagasta
Antsiranana Arrachart Airport,DIE,FMNA,-12.3494,49.29174,Madagascar,374,Antsiranana
Antwerp International Airport,ANR,EBAW,51.189442,4.460278,Belgium,39,Antwerp
Anvik Airport,ANV,PANV,62.647778,-160.188889,United States,309,Anvik
Aomori Airport,AOJ,RJSA,40.734718,140.690796,Japan,664,Aomori
Aosta Airport,AOT,LIMW,45.738499,7.36872,Italy,1791,Aosta
Apalachicola Regional Airport,AAF,KAAF,29.733334,-84.98333,United States,20,Apalachicola
Apartado Airport,APO,SKLC,7.817678,-76.717659,Colombia,46,Carepa
Apatity Airport,KVK,ULMK,67.463303,33.588299,Russia,515,Apatity
Apia Faleolo International Airport,APW,NSFA,-13.8296,-171.996994,Samoa,58,Faleolo
Apple Valley Airport,APV,KAPV,34.575298,-117.185997,United States,3062,
Appleton International Airport,ATW,KATW,44.258091,-88.518997,United States,918,Appleton
Aqaba King Hussein International Airport,AQJ,OJAQ,29.61161,35.018059,Jordan,175,Aqaba
Aracaju Santa Maria Airport,AJU,SBAR,-10.984,-37.070301,Brazil,23,Aracaju
Aracati Airport,ARX,SBAC,-4.56861,-37.804722,Brazil,128,
Aracatuba Airport,ARU,SBAU,-21.1413,-50.424702,Brazil,1361,Aracatuba
Arad International Airport,ARW,LRAR,46.176552,21.26202,Romania,352,Arad
Araguaina Airport,AUX,SWGN,-7.227867,-48.240467,Brazil,771,Araguaina
Arak Airport,AJK,OIHR,34.1381,49.847301,Iran,5440,Arak
Arar Domestic Airport,RAE,OERR,30.90658,41.13821,Saudi Arabia,1813,Arar
Araraquara Airport,AQA,SBAQ,-21.812,-48.132999,Brazil,2334,Araracuara
Arauca Santiago Perez Quiroz Airport,AUC,SKUC,7.068889,-70.7369,Colombia,420,Arauca
Araxa Airport,AAX,SBAX,-19.568056,-46.929169,Brazil,3274,Araxa
Arba Minch Airport,AMH,HAAM,6.039389,37.59045,Ethiopia,3895,Arba Minch
Arcachon La Teste-de-Buch Airport,XAC,LFCH,44.59861,-1.11472,France,49,Arcachon
Arcata Eureka Airport,ACV,KACV,40.978111,-124.108002,United States,222,Arcata CA
Arctic Bay Airport,YAB,CYAB,73.006386,-85.047218,Canada,72,
Arctic Village,ARC,PARC,68.110001,-145.570007,United States,2092,Arctic Village
Ardabil Airport,ADU,OITL,38.323826,48.421249,Iran,4317,Ardabil
Ardmore Airport,AMZ,NZAR,-37.029701,174.973007,New Zealand,111,Ardmore
Ardmore Municipal Airport,ADM,KADM,34.303009,-97.0196,United States,776,Ardmore
Arequipa Rodriguez Ballon International Airport,AQP,SPQU,-16.341,-71.583,Peru,8405,Arequipa
Argyle Airport,GYL,YARG,-16.629999,128.449997,Australia,522,Argyle
Arica Chacalluta International Airport,ARI,SCAR,-18.348499,-70.338699,Chile,167,Arica
Arkhangelsk Talagi Airport,ARH,ULAA,64.600281,40.71666,Russia,62,Arkhangelsk
Arlington Municipal Airport,QQW,KAWO,48.160831,-122.15889,United States,142,Arlington
Arlington Municipal Airport,QQG,KGKY,32.66,-97.089996,United States,628,Arlington
Armenia El Eden International Airport,AXM,SKAR,4.453333,-75.7658,Colombia,3990,Armenia
Armidale Airport,ARM,YARM,-30.528334,151.616669,Australia,3556,Armidale
Artesia Municipal Airport,ATS,KATS,32.852501,-104.468002,United States,3541,
Arthur's Town Airport,ATC,MYCA,24.628611,-75.671387,Bahamas,18,Arthur's Town
Arusha Airport,ARK,HTAR,-3.36779,36.633331,Tanzania,4550,Arusha
Arutua Airport,AXR,NTGU,-15.2463,-146.619995,French Polynesia,9,Arutua
Arviat Airport,YEK,CYEK,61.094158,-94.070801,Canada,32,Eskimo Point
Arvidsjaur Airport,AJR,ESNX,65.590271,19.28194,Sweden,1245,Arvidsjaur
Arxan Yiershi Airport,YIE,ZBES,47.310555,119.911942,China,2918,Arxan
Asaba International Airport,ABB,DNAS,6.203055,6.667222,Nigeria,242,Asaba
Asahikawa Airport,AKJ,RJEC,43.67083,142.447495,Japan,721,Asahikawa
Ascension Island Airport,ASI,FHAW,-7.9696,-14.3937,Saint Helena,278,Wide Awake
Asheville Regional Airport,AVL,KAVL,35.436192,-82.541801,United States,2164,Asheville
Ashgabat International Airport,ASB,UTAA,37.986809,58.360958,Turkmenistan,692,Ashkhabad
Asmara International Airport,ASM,HHAS,15.29185,38.91066,Eritrea,7661,Asmara
Asosa Airport,ASO,HASO,10.01855,34.58625,Ethiopia,5120,Asosa
Aspen Pitkin County Airport,ASE,KASE,39.22316,-106.867996,United States,7838,Aspen
Assaluyeh Persian Gulf Airport,PGU,OIBP,27.383959,52.735516,Iran,40,Khalije Fars
Assiut Airport,ATZ,HEAT,27.046499,31.01198,Egypt,772,Asyut
Astoria Regional Airport,AST,KAST,46.159721,-123.879997,United States,15,Astoria
Astrakhan Narimanovo Airport,ASF,URWA,46.283329,48.006271,Russia,65,Astrakhan
Asturias Airport,OVD,LEAS,43.56356,-6.03462,Spain,416,Aviles
Astypalaia Island National Airport,JTY,LGPL,36.579887,26.375822,Greece,165,Astypalaia
Asuncion Silvio Pettirossi International Airport,ASU,SGAS,-25.239799,-57.5191,Paraguay,292,Asuncion
Aswan International Airport,ASW,HESN,23.96435,32.819969,Egypt,662,Aswan
Atambua Haliwen Airport,ABU,WATA,-9.07444,124.904404,Indonesia,75,
Athens Ben Epps Airport,AHN,KAHN,33.95195,-83.324722,United States,808,Athens
Athens Eleftherios Venizelos,ATH,LGAV,37.936352,23.94446,Greece,308,Athens
Athens Gordon K. Bush Airport,ATO,KUNI,39.210999,-82.2314,United States,766,Athens
Athens McMinn County Airport,MMI,KMMI,35.397221,-84.5625,United States,858,Athens
Atlanta Cobb County Airport,QQR,KRYY,34.013058,-84.59861,United States,1040,Atlanta
Atlanta DeKalb Peachtree Airport,PDK,KPDK,33.869999,-84.300003,United States,1003,Atlanta
Atlanta Fulton County Airport,FTY,KFTY,33.777195,-84.521141,United States,821,Atlanta
Atlanta Hartsfield-Jackson International Airport,ATL,KATL,33.636719,-84.428001,United States,1026,Atlanta
Atlantic City International Airport,ACY,KACY,39.457581,-74.577103,United States,74,Atlantic City
Atlantic City Monmouth Executive Airport,BLM,KBLM,40.186668,-74.124443,United States,153,
Atqasuk Airport,ATK,PATQ,70.5,-157.333328,United States,96,Atqasuk
Attawapiskat Airport,YAT,CYAT,52.919998,-82.43,Canada,31,Attawapiskat
Atuona Airport,AUQ,NTMN,-9.76879,-139.011002,French Polynesia,1481,Hiva-oa
Atwater Castle Airport,MER,KMER,37.380482,-120.568001,United States,191,Merced
Atyrau Airport,GUW,UATG,47.121941,51.821381,Kazakhstan,72,Atyrau
Auburn Airport,LEW,KLEW,44.048611,-70.283607,United States,288,Lewiston
Auburn Municipal Airport,AUN,KAUN,38.9548,-121.082001,United States,1539,
Auburn University Regional Airport,AUO,KAUO,32.615101,-85.433998,United States,777,Auburn
Auckland Airport,AKL,NZAA,-37.007999,174.791595,New Zealand,23,Auckland
Augsburg Airport,AGB,EDMA,48.425152,10.93176,Germany,1515,Augsburg
Augusta Daniel Field Airport,DNL,KDNL,33.468098,-82.0392,United States,414,Augusta
Augusta Regional Airport,AGS,KAGS,33.369942,-81.9645,United States,144,Bush Field
Augusta State Airport,AUG,KAUG,44.320648,-69.797302,United States,352,Augusta
Aupaluk Airport,YPJ,CYLA,59.296665,-69.599724,Canada,117,Aupaluk
Aurangabad Airport,IXU,VAAU,19.86272,75.398109,India,1911,Aurangabad
Aurillac Tronquieres Airport,AUR,LFLW,44.897579,2.416719,France,2096,Aurillac
Aurukun Airport,AUU,YAUR,-13.353889,141.72084,Australia,29,Aurukun
Austin Bergstrom International Airport,AUS,KAUS,30.194521,-97.6698,United States,542,Austin
Austin Executive Airport,EDC,KEDC,30.389999,-97.559998,United States,620,Austin
Auxerre Branches Airport,AUF,LFLA,47.846321,3.496578,France,523,Auxerre
Avalon Catalina Airport,AVX,KAVX,33.404999,-118.415833,United States,1602,Catalina Island
Avarua Rarotonga International Airport,RAR,NCRG,-21.2027,-159.804993,Cook Islands,19,Avarua
Avignon Caumont Airport,AVN,LFMV,43.906582,4.902028,France,124,Avignon
Avoca Wilkes-Barre/Scranton International Airport,AVP,KAVP,41.33847,-75.723297,United States,962,Scranton
Awali Sakhir Air Base,KHB,OBKH,26.034721,50.524445,Bahrain,49,
Awasa Airport,AWA,HALA,7.095,38.398335,Ethiopia,5604,Awasa
Axum Airport,AXU,HAAX,14.14675,38.772831,Ethiopia,6915,Axum
Ayacucho Airport,AYP,SPHO,-13.1548,-74.204399,Peru,8917,Ayacucho
Ayers Rock Airport,AYQ,YAYE,-25.1861,130.975494,Australia,1626,Uluru
Babo Airport,BXB,WASO,-2.53224,133.438797,Indonesia,10,Babo
Bacau International Airport,BCM,LRBC,46.521938,26.910271,Romania,607,Bacau
Bacolod City Silay International Airport,BCD,RPVB,10.776905,123.018394,Philippines,25,Bacolod
Badajoz Airport,BJZ,LEBZ,38.891251,-6.82133,Spain,609,Badajoz
Badu Island Airport,BDD,YBAU,-10.15,142.173401,Australia,14,Badu Island
Bafoussam Airport,BFX,FKKU,5.536919,10.35458,Cameroon,4347,Bafoussam
Baghdad International Airport,BGW,ORBI,33.262501,44.234444,Iraq,114,Baghdad
Baglung Airport,BGL,VNBL,28.212799,83.666298,Nepal,3320,
Bahawalpur Airport,BHV,OPBW,29.348057,71.717781,Pakistan,392,Bahawalpur
Bahia Blanca Comandante Espora Airport,BHI,SAZB,-38.724899,-62.1693,Argentina,246,Bahia Blanca
Bahia Solano Jose Celestino Mutis Airport,BSC,SKBS,6.202936,-77.394798,Colombia,80,Bahia Solano
Bahir Dar Airport,BJR,HABD,11.60807,37.32164,Ethiopia,5976,Bahar Dar
Bahrain International Airport,BAH,OBBI,26.27083,50.63361,Bahrain,6,Bahrain
Baia Mare Airport,BAY,LRBM,47.658379,23.47002,Romania,605,Baia Mare
Baicheng Chang'an Airport,DBC,ZLGL,45.50528,123.019722,China,463,
Baie Comeau Airport,YBC,CYBC,49.1325,-68.204399,Canada,71,Baie Comeau
Bairnsdale Airport,BSJ,YBNS,-37.887501,147.567993,Australia,165,Bairnsdale
Baise Bama Airport,AEB,ZGBS,23.719469,106.967773,China,480,
Baishan Changbaishan Airport,NBS,ZYBS,42.088055,127.548889,China,2883,
Bajawa Turelelo Soa Airport,BJW,WATB,-8.7125,121.0625,Indonesia,4326,
Bakelalan Airport,BKM,WBGO,3.973691,115.617157,Malaysia,3039,
Baker City Municipal Airport,BKE,KBKE,44.837299,-117.808998,United States,3373,Baker City
Baker Lake Airport,YBK,CYBK,64.298882,-96.077698,Canada,59,Baker Lake
Bakersfield Meadows Field Airport,BFL,KBFL,35.433861,-119.056999,United States,510,Bakersfield
Baku Heydar Aliyev International Airport,GYD,UBBB,40.467499,50.046661,Azerbaijan,10,Baku
Balboa Panama Pacifico International Airport,BLB,MPPA,8.914011,-79.598091,Panama,33,
Balikpapan Sepinggan Airport,BPN,WALL,-1.26827,116.894402,Indonesia,12,Balikpapan
Balkhash Airport,BXH,UAAH,46.893299,75.004997,Kazakhstan,1446,Balkhash
Ballera Airport,BBL,YLLE,-27.408333,141.808334,Australia,385,Ballera
Ballina Byron Gateway Airport,BNK,YBNA,-28.833799,153.5625,Australia,7,Ballina Byron Bay
Balmaceda Airport,BBA,SCBA,-45.916,-71.6894,Chile,1722,Balmaceda
Baltimore Martin State Airport,MTN,KMTN,39.321667,-76.411667,United States,22,Baltimore
Baltimore Washington International Airport,BWI,KBWI,39.175362,-76.668297,United States,146,Baltimore
Baltrum Airport,BMR,EDWZ,53.724724,7.373333,Germany,7,
Bamaga Northern Peninsula Airport,ABM,YNPE,-10.9508,142.459396,Australia,34,
Bamako Senou International Airport,BKO,GABS,12.53354,-7.94994,Mali,1247,Bamako
Bamenda Airport,BPC,FKKV,6.039239,10.12263,Cameroon,4065,Bamenda
Ban Houeisay Airport,HOE,VLHS,20.260511,100.436783,Laos,1380,Huay Xai
Banda Aceh International Airport,BTJ,WITT,5.523522,95.420372,Indonesia,65,Banda Aceh
Bandar Abbas International Airport,BND,OIKB,27.218309,56.37785,Iran,22,Bandar Abbas
Bandar Lampung Radin Inten II Airport,TKG,WICT,-5.2425,105.178886,Indonesia,282,
Bandar Lengeh Airport,BDH,OIBL,26.532,54.824841,Iran,67,Bandar Lengeh
Bandung Husein Sastranegara International Airport,BDO,WICC,-6.90062,107.576202,Indonesia,2436,Bandung
Bangkok Don Mueang International Airport,DMK,VTBD,13.9125,100.606697,Thailand,9,Bangkok
Bangkok Suvarnabhumi Airport,BKK,VTBS,13.6811,100.7472,Thailand,5,Bangkok
Bangor International Airport,BGR,KBGR,44.807442,-68.828102,United States,192,Bangor
Bangui Airport,BGF,FEFF,4.398475,18.51878,Central African Republic,1208,Bangui
Banja Luka International Airport,BNX,LQBK,44.941441,17.297501,Bosnia And Herzegovina,400,Banja Luka
Banjarmasin Syamsudin Noor Airport,BDJ,WAOO,-3.44235,114.762497,Indonesia,66,Banjarmasin
Banjul International Airport,BJL,GBYD,13.33796,-16.652201,Gambia,95,Banjul
Bankstown Airport,BWU,YSBK,-33.9244,150.988297,Australia,29,Sydney
Baoshan Yunduan Airport,BSD,ZPBS,25.055182,99.16143,China,5514,
Baotou Erliban Airport,BAV,ZBOW,40.55999,109.996902,China,123,Baotou
Barahona Maria Montez International Airport,BRX,MDBH,18.251459,-71.120399,Dominican Republic,10,Barahona
