Name,Code,Code_ICAO,Country
Canjet Airlines,C6,CJA,Canada
Canlink Aviation,,MFC,Canada
CanWest Air,,CWA,Canada
Cape Air,9K,KAP,United States
Capital Air Ambulance,,EGL,United Kingdom
Capital Airlines,JD,CBJ,
Capital City Air Carriers,,CCQ,United States
Cardiff Aviation Malta,,SGO,
Cardig Air,8F,CAD,Canada
Cargo Air,,CGF,
Cargo Three,C3,CTW,Panama
Cargojet Airways,W8,CJT,Canada
CargoLogic Germany,6L,GCL,
CargoLogicAir,P3,CLU,Germany
Cargolux,CV,CLX,Luxembourg
Cargolux Italia,C8,ICV,
Caribbean Airlines,BW,BWA,Trinidad And Tobago
Carpatair,V3,KRP,Romania
Carson Air,,CRN,Cuba
Caspian Airlines,IV,CPN,Iran
Castle Aviation,,CSJ,United States
CAT Aviation,,CAZ,Switzerland
Cathay Pacific,CX,CPA,Hong Kong
Catreus,,VCG,
Cavok Air,,CVK,
Cayman Airways,KX,CAY,Cayman Islands
Cebgo,DG,SRQ,Philippines
Cebu Pacific,5J,CEB,Philippines
Ceiba Intercontinental,C2,CEL,Equatorial Guinea
CemAir,5Z,KEM,
Central Air Southwest,,CTL,United States
Central Airlines,I9,HLF,Germany
Central Mountain Air,9M,GLR,Canada
Centreline,,CLF,United Kingdom
Chabahar Airlines,,IRU,Iran
Chair Airlines,GM,GSW,Greece
Chalair Aviation,CE,CLG,France
Challenge Airlines,X7,CHG,Ukraine
Cham Wings Airlines,6Q,SAW,Syria
Charter Jets,,LTC,Latvia
Chartright Air,,HRT,Canada
CHC Helicopter,,HMB,
CHC Helicopters Netherlands,,HNL,
CHC Helicopters Nigeria,,ATQ,Netherlands
CHC Helikopter Service,,HKS,Norway
CHC International,,GCY,
Chengdu Airlines,EU,UEA,China
Chervon Corporation,,GLH,
Chicago Jet Group,,WDY,United States
Chicago Jet Group,,WDY,United States
China Airlines,CI,CAL,Taiwan
China Cargo Airlines,CK,CKK,China
China Central Longhao Airlines,GI,LHA,
China Eastern Airlines,MU,CES,China
China Express Airlines,G5,HXA,China
China Postal Airlines,CF,CYZ,China
China Southern Airlines,CZ,CSN,China
China United Airlines,KN,CUA,China
Chongqing Airlines,OQ,CQN,China
Chrono Aviation,,NDL,
Cinnamon Air,C7,CIN,
CITIC Offshore Helicopter,,CHC,China
Citilink,QG,CTV,Spain
Cityjet,WX,BCY,Ireland
Civil Air Patrol,,CAP,Canada
Class Aviation,,DUC,
Clipper Jet,,ORO,Spain
CM Airlines,CC,OMT,
Coastal Aviation,CQ,CSV,Tanzania
Cobalt Air,CO,FCB,Cyprus
Cobham Aviation,NC,JTE,Australia
Cobham Aviation Services Australia,,NJS,Australia
Cobham Flight Inspection,,CLB,United Kingdom
Colorful GuiZhou Airlines,GY,CGZ,
Comair,MN,CAW,South Africa
Comlux Aruba,CS,CXB,
Comlux Aviation,,CLA,Switzerland
Comlux Aviation Malta,,MLM,
CommutAir,C5,UCA,United States
Compagnia Aeronautica Italiana,,CPI,Italy
Compass Cargo Airlines,,ADZ,
Conair,,FGD,
Condor,DE,CFG,Germany
Congo Airways,8Z,CGA,United States
Connect Airlines,MW,WZM,
Connect Linhas Aereas,6C,CNT,France
Conquest Air,C4,QAI,
Contour Aviation,LF,VTE,United States
Conviasa,V0,VCV,Venezuela
Copa Airlines,CM,CMP,Panama
Copenhagen Airtaxi,,CAT,Taiwan
Copenhagen Airtaxi,,CAT,Denmark
Corendon Airlines,XC,CAI,Turkey
Corendon Airlines Europe,XR,CXI,China
Corendon Dutch Airlines,CD,CND,Dominican Republic
Corporate Air,,CPT,United States
Corporate Air,,MLN,Canada
Corsair,SS,CRL,France
Costa Rica Green Airways,GW,GRA,United States
Cristalux,Z7,AUZ,Australia
Croatia Airlines,OU,CTN,Croatia
Cronos Airlines,C8,CRA,Colombia
Cronos Airlines Benin,,CKL,United States
CSA Air,,IRO,United States
CSI Aviation,,CSI,United States
Cubana,CU,CUB,Cuba
Cygnus Air,,RGN,Spain
Cyprus Airways,CY,CYP,Cyprus
Czech Airlines,OK,CSA,Czechia
Daallo Airlines,D3,DAO,Djibouti
Dalian Airlines,,CCD,
Dana Air,9J,DAN,United Kingdom
Dassault Falcon Service,,DSO,France
DAT,DX,DTR,Denmark
DAT LT,R6,DNU,Lithuania
DC Aviation,,DCS,Germany
DEA Aviation,,WKT,
Deer Jet,,DER,China
Deer Jet Beijing,,BDJ,
Delta Air Lines,DL,DAL,United States
Delta Private Jets,,DPJ,
Dena Airways,D9,DAI,
Denim Air,G6,DNM,Netherlands
Deraya,,DRY,Indonesia
Desert Jet,,DJR,
DHL,D0,DHK,United Kingdom
DHL Aero Expreso,D5,DAE,Panama
DHL Air Austria,Q7,DHA,Democratic Republic Of The Congo
DHL Aviation EEMEA,ES,DHX,Bahrain
Diamond Sky,,DMS,
Directflight,,DCT,United Kingdom
Divi Divi Air,3R,DVR,
Dniproavia,,UDN,Ukraine
Donghai Airlines,DZ,EPA,China
Dornier Aviation Nigeria Aiep,DO,DAV,Nigeria
Douniah Airlines,DH,DTS,
Dreamline Aviation,,DLX,
Druk Air,KB,DRK,Bhutan
Dubai Air Wing,,DUB,United Arab Emirates
E-Aviation,,EFD,Germany
E-Cargo Airlines,RF,ERF,Portugal
EADS CASA,,AED,Russia
Eagle Air,,EGU,Uganda
Eagle Air Iceland,,FEI,Iceland
Eagle Airways,,EAG,United Kingdom
Eagle Atlantic Airlines,,EAB,Switzerland
Eagle Creek Aviation,,EGC,
EagleMed,,EMD,United States
East Coast Jets,,ECJ,United States
East-West Express,,EWU,
Eastar Jet,ZE,ESR,South Korea
Eastern Airlines,2D,EAL,Germany
Eastern Airways,T3,EZE,United Kingdom
Eastern Australia Airlines,,EAQ,Australia
EasyFly,VE,EFY,Colombia
easyJet,U2,EZY,United Kingdom
easyJet Europe,EC,EJU,
easyJet Switzerland,DS,EZS,
EATIS,,SRK,Switzerland
Eclair Aviation,,ECC,Switzerland
ECO Airlines,,EKO,
EcoJet,8J,ECO,
Edelweiss Air,WK,EDW,Switzerland
EGO Airways,E3,EGW,
EGT Jet,,EGT,
EgyptAir,MS,MSR,Egypt
EgyptAir Cargo,,MSX,Egypt
El Al,LY,ELY,Israel
Elitavia,,EAV,United States
Elitavia Malta,,EAU,
Elite Air,,ELZ,
Elite Airways,7Q,MNU,
Ellinair,EL,ELB,Italy
Embraer,,EMB,Brazil
Emerald Airlines,,EAI,Togo
Emetebe.com.ec,,EMT,Ecuador
Emirates,EK,UAE,United Arab Emirates
Emperor Aviation,,EMM,
Empire Airlines,EM,CFS,United States
Empire Aviation,,MJE,
ENAC Ecole Aviation Civile,,NAK,Niger
Encore Air Cargo,,DKT,United States
Endeavor Air,9E,EDV,
Enter Air,E4,ENT,United Kingdom
Envoy Air,MQ,ENY,United States
Epsilon Aviation,,GRV,Greece
equair,,EQX,
Eritrean Airlines,B8,ERT,Eritrea
Estafeta,E7,ESF,Mexico
Estelar,ES,ETR,
ETF Airways,LI,EZZ,
Ethiopian Airlines,ET,ETH,Ethiopia
Etihad Airways,EY,ETD,United Arab Emirates
Euro Link,,EUL,
Euro-Asia Air,5B,EAK,Kazakhstan
EuroAtlantic Airways,YU,MMZ,Portugal
Eurocopter Deutschland,,RDF,
European Air Charter,H6,BUC,Bulgaria
European Air Transport,QY,BCS,Belgium
European Cargo,,URO,
European Flight Academy,,PTO,Canada
European Flight Service,,EUW,
European Flyers,,FYS,United States
European SAO,,EKT,
Eurowings,EW,EWG,Germany
Eurowings Discover,4Y,OCN,France
Eurowings Europe,E2,EWE,
EVA Air,BR,EVA,Taiwan
Everts Air Alaska,5V,VTS,United States
EWA Air,ZD,EWR,
Excellent Air,,ECA,Cyprus
Execuflight,,EFT,United States
Execujet Middle East,,EJO,United Arab Emirates
Execujet Scandinavia,,VMP,Denmark
Executive Jet Charter,,EXJ,United Kingdom
Executive Jet Management,,EJM,United States
Executive Jet Management,,JME,
Exploits Valley Air Services,8K,EVS,
Express Air Cargo,7A,XRC,
Express Freighters Australia,QE,EFA,Taiwan
ExpressJet,EV,ASQ,United States
ExpressJet Airlines,XE,BTA,United States
Exxaero,,XRO,
EZ Air,7Z,EZR,
Eznis Airways,MG,EZA,Mongolia
FAI rent-a-jet,,IFA,Germany
Far Eastern Air Transport,FE,FEA,
Fast Air,,PBR,
Fastjet,FN,FTZ,
Fastjet Zimbabwe,FN,FJW,
FedEx,FX,FDX,United States
Fenix Air Charter,,FNX,France
Feuerwehr-Flugdienst Niedersachsen,,FFD,Germany
Fiji Airways,FJ,FJI,Fiji
Fiji Link,,FJA,
Finnair,AY,FIN,Finland
Firefly,FY,FFM,Malaysia
First Air,7F,FAB,Canada
First Nation Airways,,FRN,Netherlands
FitsAir,8D,EXV,Sri Lanka
Flair Airlines,F8,FLE,Canada
Fleet Air International,,FRF,France
Flexflight,W2,FXT,Denmark
Flexjet,,LXJ,United States
Flexjet Europe,,FLJ,
Flexjet Operations Malta,,FJO,
Flight Calibration Services,,FCK,Germany
Flight Calibration Services,,VOR,
Flight options,,OPT,United States
Flight Training Europe,,AYR,Spain
FlightExec,,FEX,Canada
Flightline,,FTL,
Fltplan,,DCM,United States
Flugfelag Islands,NY,FXI,Iceland
Fly 7,,FSF,
Fly Africa Zimbabwe,ZC,FZW,Zimbabwe
Fly Air41,,BER,Germany
Fly AllWays,8W,EDR,Colombia
Fly Angola,EQ,FLA,United States
Fly Armenia Airways,VF,FBB,
Fly Art,T2,FLB,Germany
Fly Baghdad,IF,FBA,Kyrgyzstan
Fly Gangwon,4V,FGW,
Fly Jamaica,OJ,FJM,Jamaica
Fly Jordan,F0,FJR,
Fly One,5F,FIA,Antigua And Barbuda
Fly SAX,,EXZ,Kenya
Fly Sky Airlines,,FSQ,
Fly Sky Airlines,,FSU,Sweden
Fly Tyrol,,FTY,Austria
Fly2Sky,,VAW,
Fly540,5H,FFV,Kenya
Flyadeal,F3,FAD,Canada
FlyBig,S9,FLG,United States
Flybondi,FO,FBZ,
FlyBosnia,6W,FBS,
FlyDamas,4J,FDK,
FlyDubai,FZ,FDB,United Arab Emirates
FlyEgypt,FT,FEG,Egypt
FlyGTA Airlines,SX,TOR,Canada
Flying Business Aviation,,FBX,
Flying Service,,FYG,Belgium
FlyMe,VP,VQI,Maldives
FlyMontserrat,5M,MNT,Montserrat
Flynas,XY,KNE,Saudi Arabia
FlyPelican,FP,FRE,United States
Flyr,FS,FOX,Brazil
FlySafair,FA,SFR,South Africa
FlySchool,,FSM,
FR Aviation,,FRA,United Kingdom
Freebird Airlines,FH,FHY,Turkey
Freebird Airlines Europe,,FHM,
Freight Runners Express,,FRG,United States
French Bee,BF,FBU,
Frontier Airlines,F9,FFT,United States
Fuji Dream Airlines,JH,FDA,Mali
Fuzhou Airlines,FU,FZA,China
Galistair,GH,GTR,Chile
Gama Aviation (UK),,GMA,United Kingdom
Gama Aviation (US),,GAJ,
Garuda Indonesia,GA,GIA,Indonesia
Gazpromavia,4G,GZP,Russia
GCA Airlines,9A,GCA,Lithuania
General Atomic AeroTech Systems,,DOR,Germany
Genex,,GNX,Belarus
Genghis Khan Airlines,9D,NMG,
Geo Sky Airline,,GEL,
Georgian Airways,A9,TGZ,Georgia
German Airways,ZQ,GER,Germany
Gesellschaft Fur Flugzieldarstellung,,GFD,Germany
Gestair,,GES,Spain
GetJet Airlines,GW,GJT,Spain
Getjet Airlines Latvia,,DML,Mexico
Global Air Charters,,GJE,
Global Crossing Airlines,G6,GXA,Moldova
Global Jet Luxembourg,,SVW,Luxembourg
Global Supply Systems,,GSS,United Kingdom
GlobeAir,,GAC,
Globus,GH,GLP,Russia
Go First,G8,GOW,India
GoJet ,G7,GJS,United States
GOL Linhas Aereas,G3,GLO,Brazil
Goldeck Flug,,GDK,Austria
Golden Myanmar Airlines,Y5,GMR,Myanmar (Burma)
Gouvernement du Quebec,,QUE,Canada
Grafair,,GFM,
Grand Canyon Airlines,YR,CVU,United States
Grand China Air,CN,GDC,China
Grant Aviation,GV,GUN,United States
Greater Bay Airlines,HB,HGB,
Green Africa Airways,Q9,GWG,
Greybird Aviation,,GAG,Comoros
